"fire","point","int.1","int.2","int.3","int.4","int.5","fa","lat","snag.ct","cc","elev.res"
"Fletcher","RM05",0,0,1,NA,NA,2,41.9663333406646,3,34.1751266488007,1150.59370094228
"Antelope Complex","RM10",0,NA,0,0,0,2,40.0869201218011,0,9.94819030747924,156.252847781382
"Peavine","BW04",0,0,0,0,0,1,39.0738192571725,0,5.02600343294185,-1011.23361398263
"Fletcher","HP06",0,NA,0,1,NA,2,41.9732829628039,0,3.02358478395286,853.937737874407
"Moonlight","HP08",0,NA,0,0,0,2,40.2181201472675,1,3.64642407956775,-60.615988845848
"McNally","RG07",0,0,0,0,0,7,35.9626029144651,3,86.4201155004967,-2708.29664061897
"White","RS04",0,NA,0,0,0,8,38.2554717426291,5,23.9951108887521,-925.00816130214
"Fletcher","RM09",0,0,0,0,1,2,41.9645733223851,0,23.9669755214596,899.746810851011
"Fletcher","RM03",0,0,0,1,NA,2,41.9709083244951,2,85.7345831695172,1452.79510334754
"McNally","RM07",0,0,0,0,0,7,35.955665789672,9,99.3783806934895,-1791.63466404613
"Antelope Complex","RM08",0,NA,0,0,0,2,40.0911473253244,0,44.4770075883716,198.286904370096
"Fletcher","RM02",0,NA,0,1,NA,2,41.9726961735052,1,90.0431393149817,1403.65538510085
"Fletcher","HP03",0,0,1,NA,NA,2,41.97493781015,0,97.9153470639138,904.734021547314
"Showers","BW03",0,NA,1,NA,NA,7,38.7790389106281,0,61.83536723554,1336.92322592178
"McNally","RM09",0,0,0,0,0,7,35.9517253265331,9,87.0921944240097,-1593.53074616427
"Bassetts","RM08",0,NA,0,0,0,3,39.6267410408725,1,44.8837758151463,414.822702203592
"Plum","DM09",0,NA,0,0,0,7,38.7611883692863,0,2.6818364131252,-1191.66614315597
"Bassetts","RG05",0,NA,0,0,0,3,39.6191090686929,0,72.1909721080055,-68.8496696638226
"White","RS03",0,0,0,0,0,8,38.2567589339461,1,82.2935032526453,-884.388787296404
"Crag 05","RM01",0,0,0,0,0,4,36.1062560715696,5,1.26988517105621,960.82675244394
"Fletcher","HP04",0,NA,1,NA,NA,2,41.9732569004838,0,38.2074123953922,853.92519714065
"Fall","BW03",0,NA,0,0,0,1,39.3891899414072,3,7.86761138444866,-299.482742604159
"Bucks","RM06",0,NA,0,0,0,10,39.9233945983856,2,15.4593774402795,-642.432781262232
"Rich","RM12",0,NA,0,0,0,1,40.0584475911444,1,1.02719739811216,-377.447637246227
"Bucks","HP05",0,0,0,0,0,10,39.9350425113605,0,16.6023728180166,-316.828008745182
"Lookout","RM11",0,0,0,0,0,10,39.8380490710169,0,4.52006162375464,-1003.49956011609
"Bucks","HP06",0,NA,0,0,0,10,39.9376143094016,3,31.8598318358627,-275.590504394726
"North Fork","RG02",0,NA,0,0,0,8,37.2510483680005,2,13.0120156780842,-2248.31916626339
"North Fork","RG01",0,0,0,0,0,8,37.2493430511344,0,96.4190881900808,-2409.13973498884
"Bucks","HP10",0,NA,0,0,0,10,39.9448713126101,0,3.7977011632795,-152.098561054597
"Pidgeon","HP07",0,0,0,0,0,10,39.8517055498137,1,29.3244407661294,-476.928300766456
"Pidgeon","HP08",0,NA,0,0,0,10,39.8505700864415,4,66.7607550544986,-197.474665932159
"Pidgeon","HP06",0,NA,0,0,0,10,39.8532011561797,0,0.33746056937256,-696.208641075099
"Pidgeon","HP05",0,0,0,0,0,10,39.8530318885191,0,0.0313850292208467,-716.29008972038
"North Fork","RG03",0,0,0,0,0,8,37.2521825123351,2,57.7785561388828,-2287.77343579557
"McNally","RM08",0,NA,0,0,0,7,35.9533040178221,21,99.8133292091965,-1672.77110745744
"Deep","RM06",0,0,0,0,0,5,36.1993734352048,8,66.5268437234574,-2574.36679667621
"McNally","RG08",0,NA,0,0,0,7,35.9602771794700,1,89.2442598193474,-2509.41574372445
"Deep","RM01",0,NA,0,0,0,5,36.1924087613266,6,28.0406036734137,-2157.7180762425
"McNally","RM05",0,0,0,0,0,7,35.9598386439429,4,85.8408099600955,-2309.62675936951
"Deep","RM05",0,NA,0,0,0,5,36.1973917335987,0,46.4434982724546,-2515.32035691681
"Deep","RM02",0,0,0,0,0,5,36.1922673927502,10,91.0524462715278,-2277.78610033518
"McNally","RM04",0,NA,0,0,0,7,35.962056571407,4,52.1832419605313,-2588.55953136717
"Deep","RG05",0,0,0,0,0,5,36.1854802988761,1,22.1040073135847,-2401.05193150152
"Deep","RM04",0,0,0,0,0,5,36.1950167153515,0,11.0143811842664,-2536.46317426341
"Deep","RM03",0,NA,0,0,0,5,36.1929894892021,6,33.102054131302,-2497.43864012004
"McNally","RG06",0,NA,0,0,0,7,35.9646327505266,4,73.3184798642256,-2907.31991891818
"Lookout","RM07",0,0,0,0,0,10,39.844173302392,2,20.2815174230555,-760.55268682014
"Moonlight","RM10",1,NA,1,NA,NA,2,40.2308791988425,0,30.2071380455672,-94.4765558190656
"Birch","DM10",0,0,0,0,0,7,37.539611910015,4,77.6844074827784,1108.53257594917
"Birch","RS02",0,NA,0,0,0,7,37.5458327272281,2,91.9802252223549,-266.474075334646
"Dexter","DM08",0,0,0,0,0,6,37.8206965988016,1,7.72362718146546,1805.78562446261
"Sawmill","RG01",0,0,0,0,0,9,36.8972479571745,1,90.9622559851388,602.438248357464
"Sawmill","RM02",0,0,0,0,0,9,36.8993666354563,0,50.5823897406857,12.4577193847555
"Birch","DM08",0,0,0,0,0,7,37.5418653261274,0,100,682.616880469948
"Sawmill","RG02",0,0,0,0,0,9,36.8991394569388,0,89.1811331302616,865.34840504543
"Birch","RS03",0,0,0,0,0,7,37.5440620799434,2,91.612939596056,-267.32607991779
"Birch","RS07",0,0,0,0,0,7,37.5368261721457,8,57.5593079407936,-270.80787251427
"Inyo Complex","RG09",0,NA,0,0,0,2,36.8466179887395,0,26.804239597561,53.0759908238591
"Sawmill","RG03",0,0,0,0,0,9,36.897325666324,0,64.6161283399882,1061.47564064451
"Birch","RS06",0,NA,0,0,0,7,37.538817213008,3,30.0016450330102,-269.849818386514
"Birch","RS09",0,0,0,0,0,7,37.5323695433081,3,72.0319854471724,-272.952324561731
"Birch","RS08",0,NA,0,0,0,7,37.5348501266043,5,74.4941911234201,-271.758711155215
"Crag 04","RM02",0,NA,0,0,0,5,36.1487901462804,1,40.2878751083,661.293407156327
"McNally","RG04",0,NA,0,0,0,7,35.9686810174615,5,45.484194067537,-2945.37196349412
"Deep","RG03",0,0,0,0,0,5,36.1888892830546,2,31.0497967189213,-2399.41158778708
"Deep","RG01",0,0,0,0,0,5,36.1907487942559,8,39.8514502296981,-2278.51682343756
"McNally","RG02",0,NA,0,0,0,7,35.9681954827991,6,78.7727217654825,-2925.60559430315
"McNally","RM01",0,0,0,0,0,7,35.9679764526028,0,0.316571945835126,-2905.71098781247
"Deep","RG02",0,NA,0,0,0,5,36.1910154204208,12,30.452628892742,-2358.38852757851
"North Fork","RG04",0,NA,0,0,0,8,37.2528304625886,1,34.7931310784664,-2207.46165343756
"Deep","RG04",0,NA,0,0,0,5,36.1874328061803,1,46.1159637531762,-2280.11241904968
"McNally","RM03",0,0,0,0,0,7,35.964337082042,0,17.4708013257124,-2787.46218943481
"McNally","RM02",0,NA,0,0,0,7,35.9666429277651,2,47.2208794234466,-2866.35265670004
"McNally","RG03",0,0,0,0,0,7,35.9679513800604,6,76.5023130649677,-2785.72305228246
"McNally","RG01",0,0,0,0,0,7,35.9685804815390,7,43.9801945983677,-2945.4203396261
"North Fork","RG06",0,NA,0,0,0,8,37.2506774688462,2,20.6034887630573,-2008.49763646583
"North Fork","RG07",0,0,0,0,0,8,37.2490816854124,1,11.5982144334186,-2049.26549961455
"Vista","RM08",0,NA,0,0,0,2,36.0054343198555,0,29.2660734418771,1372.31308442928
"Pidgeon","RM05",0,0,0,0,0,10,39.8477797345258,0,55.9634824398911,1.18266540576310
"Whit","RS10",0,NA,0,0,0,6,38.3844039888261,4,60.1928498829377,377.031786249286
"Hiram","JS04",0,NA,0,0,0,10,38.4410691126204,2,0,784.29805525403
"Whit","JS05",0,NA,0,0,0,6,38.3796657780355,10,11.6464248619416,654.751841878448
"Whit","JS06",0,0,0,0,0,6,38.3772526757812,4,25.2883830425793,933.590699172035
"Mud","RS07",0,1,1,NA,NA,6,38.4255745479719,2,72.5070503430533,736.842341059333
"Whit","JS07",0,NA,0,0,0,6,38.3769302949820,13,35.1848723339336,973.435575155633
"Vista","RM01",0,0,0,1,NA,2,36.0124747290777,3,0,1195.70080652185
"Scotch","HP08",0,NA,1,NA,NA,1,39.7959808629587,0,5.21729380718748,-303.742047922629
"Scotch","RM01",0,0,0,0,0,1,39.7846655688021,2,0.0265287560639114,-389.186770067096
"Vista","RM04",0,NA,0,0,0,2,36.0079922763025,3,0.477171037171965,773.543928446134
"Vista","RM06",0,NA,0,0,0,2,36.0058687709453,1,41.1654745336081,1272.52213471437
"Crag 05","RG05",0,0,0,0,0,4,36.1249880009937,4,12.5955823874589,1169.84023009043
"Hooker","RM08",0,NA,0,0,0,6,36.1115637466699,3,2.62917136632288,1163.38071310588
"Hooker","RM06",0,NA,0,0,0,6,36.1068946732591,1,23.6212823687542,1081.13403643605
"Hooker","RM05",0,0,0,0,0,6,36.1045274283544,5,13.9587067005261,1089.99495948625
"Whit","JS08",0,0,0,0,0,6,38.3791560269668,3,9.26617205966635,774.506558557173
"Vista","RM10",0,NA,1,NA,NA,2,36.0075976736643,14,83.0844720374704,1073.35405254077
"Vista","RG01",0,NA,1,NA,NA,2,36.0103505708811,10,39.629623036266,1074.67869865516
"Vista","RM07",0,0,0,0,0,2,36.0056722997624,7,5.58228114883552,1442.42759620875
"Crag 05","RG10",0,NA,0,0,0,4,36.1158876599959,0,23.301637996234,1045.46130476448
"Crag 05","RG07",0,0,0,0,0,4,36.1220809663121,3,0,1128.44141571702
"Vista","RM02",0,NA,0,0,1,2,36.0104057429720,4,4.5006647525419,1294.70524650278
"Crag 05","RG09",0,0,0,0,0,4,36.1178081581765,2,4.69699521709324,1086.38541498447
"Hooker","RG10",0,NA,0,0,0,6,36.1169022584874,0,0.299366969700755,1085.94951185817
"Vista","RM03",1,NA,0,1,NA,2,36.0084746184802,0,58.5256111621881,1313.77602308723
"Crag 05","RG06",0,NA,0,0,0,4,36.1234767149392,7,5.26007145976318,1089.11302560651
"Bassetts","RG02",0,0,0,0,0,3,39.6259145186549,10,32.4071226147884,94.4249941317754
"Hooker","RM04",0,NA,0,0,0,6,36.1025923750006,1,23.8620970520232,1129.06384557084
"Crag 05","RG04",0,NA,0,0,0,4,36.1267788529332,6,2.95570773800151,1210.70195680098
"Crag 05","RG01",0,0,0,0,0,4,36.1242811698297,7,0,1129.50011526551
"Hooker","RM07",0,0,0,0,0,6,36.1093975455299,0,3.34292046367134,1122.33837490830
"Crag 05","RG02",0,NA,0,0,0,4,36.1267686612907,4,0.25210351587029,1210.69705276041
"Hooker","RM09",0,0,0,0,0,6,36.1128537569141,0,4.03592915065044,1284.00144353020
"Crag 05","RG03",0,0,0,0,0,4,36.1270987137943,4,9.04340606198426,1210.85586826713
"Hooker","RM10",0,NA,0,0,0,6,36.1111549891518,1,10.9467796701743,1203.18402611925
"Vista","RM05",0,0,0,0,0,2,36.0080328935302,0,0.0539383159602786,1313.56347274750
"Crag 05","RG08",0,NA,0,0,0,4,36.1201861458140,4,1.09722420098743,1127.52966114988
"Blue","HP10",0,NA,1,NA,NA,8,41.1573038547145,0,2.24807901314272,1191.30282642195
"Azusa","RS04",0,NA,0,0,0,9,37.9346064147139,0,55.7091479708498,960.597040638467
"Blue","RM08",0,NA,0,1,NA,8,41.1471785387052,1,0.134758571175031,1746.43070100192
"Bell","HP03",0,0,0,0,0,8,41.7257892902351,0,57.0616905819292,89.8481003448064
"Crater","DM03",0,NA,0,0,0,8,37.8939026069005,2,51.1601170076089,561.011078426746
"Azusa","RS01",0,0,0,0,0,9,37.9361363034601,3,37.8960137391904,961.333196413097
"Crater","DM10",0,0,0,0,0,8,37.9040531215109,7,86.5020072594606,285.895328974023
"Blue","RM05",0,0,0,0,0,8,41.1526218557886,8,11.1244684460058,1529.04993021975
"Blue","RM04",0,NA,0,0,0,8,41.15370686232,1,2.49215574188721,1509.57201643392
"Crater","DM01",0,NA,0,1,NA,8,37.8901141208973,1,31.68400063857,639.188125054954
"Crater","RS05",0,0,0,0,0,8,37.8913547921969,2,88.9728967169435,439.785114439891
"Horton2","RM02",0,NA,0,0,0,10,39.8747761487223,0,13.8833259617217,774.172868944668
"Crater","DM07",0,NA,0,0,0,8,37.8997478046683,3,92.5593152270856,443.823685618808
"Blue","RM02",0,NA,0,0,0,8,41.156949999995,1,0,1411.13255770419
"Blue","RM01",0,0,0,0,0,8,41.1600153254195,0,0,1392.60753882159
"Horton2","RG03",0,0,0,0,0,10,39.8863468185172,2,49.3327156411258,139.740473391065
"Birch","RS05",0,0,0,0,0,7,37.5407864384452,4,70.9952582126425,-268.90226146073
"Harding","RG03",0,0,0,0,0,4,39.6504577170822,5,42.209994821753,-693.765246959293
"Inyo Complex","RM03",0,0,0,0,0,2,36.8443493374786,13,93.5997380789786,-473.015644584586
"Birch","RS04",0,NA,0,0,0,7,37.5424850421856,5,50.42910098973,-268.084922974253
"Inyo Complex","RG07",0,NA,0,0,0,2,36.8501175664944,1,87.7922973107489,677.759926586787
"Birch","DM01",0,NA,0,0,0,7,37.5517092440345,0,100,326.353602032402
"Birch","DM02",0,0,0,0,0,7,37.5532679357704,0,96.5567819370194,327.103617303186
"Birch","DM03",0,NA,0,0,0,7,37.5499628850309,0,100,457.513284546398
"Inyo Complex","RM04",0,0,0,0,0,2,36.8445246365288,2,98.509431905855,118.068706260151
"Inyo Complex","RG08",0,NA,0,0,0,2,36.8488564595149,1,72.0878137074638,480.153103909198
"Dexter","DM02",0,0,0,0,1,6,37.8304856254031,10,32.1091967735409,1510.49593328643
"Birch","DM09",0,NA,0,0,0,7,37.5408772371031,0,99.2474181738077,977.141429269402
"Inyo Complex","RG04",0,0,0,0,0,2,36.8452995559941,1,78.8527382366372,-505.558416012191
"Peterson Complex","RM06",0,NA,0,0,0,1,40.8875931305621,0,5.17608183350878,-258.477268736746
"Inyo Complex","RM07",0,0,0,0,0,2,36.8459166788875,10,99.3959135722716,970.738532757944
"Inyo Complex","RG05",0,0,0,0,0,2,36.846117799053,0,68.7499482573135,-373.164691727108
"Dexter","DM01",0,NA,0,0,0,6,37.8326180962484,2,24.0869816129684,1711.52204105466
"Inyo Complex","RG06",0,0,0,0,0,2,36.8482698605948,0,87.2993354356296,-44.1291572575018
"Cone","HP09",0,0,1,NA,NA,7,40.7410000514729,0,24.8535056117016,555.984699030419
"Inyo Complex","RM06",0,NA,0,0,0,2,36.8442509263725,6,98.353183945268,707.937001708015
"Peterson Complex","RM05",0,0,0,0,0,1,40.8854808909108,0,1.11176827308609,-259.493641607367
"Peterson Complex","RM02",0,NA,0,0,0,1,40.8819586796074,0,6.23199602245454,-361.188468238976
"Harding","RG05",0,0,0,0,0,4,39.6543684396902,0,12.2333202621422,-691.883475465774
"Freds","BW04",0,0,0,0,0,5,38.777437559263,2,97.856927840958,-593.847316418345
"Freds","BW07",0,NA,0,0,0,5,38.7807862243493,5,99.9155697705673,-632.235997198762
"Antelope Complex","RM02",0,NA,1,NA,NA,2,40.1007867842738,0,58.9504313785585,722.925243849044
"Freds","DM03",0,NA,0,0,0,5,38.7862324093874,3,98.2438933954554,-389.61538797116
"Power","DM02",0,0,0,0,0,5,38.5183629744377,13,15.4671413518998,-358.509486888177
"Power","DM03",0,NA,0,0,0,5,38.5166226523034,1,1.1174488493162,-279.346899537995
"Freds","DM04",0,0,0,0,0,5,38.7842482056906,0,86.4123284966025,-310.570152174156
"Piute 08","RG08",0,NA,0,0,0,1,35.4648506107721,1,0.242515256650606,132.193634501720
"Vista","RG07",0,NA,1,NA,NA,2,36.0047053809358,12,53.0646463637062,711.962331738004
"White","RS02",0,NA,0,0,0,8,38.2586758018619,17,82.4556026123703,-943.466423896504
"Plum","DM06",0,0,0,0,0,7,38.7640858850753,0,0.297491845440047,-1280.27190910762
"North Fork","RM01",0,NA,0,0,0,8,37.2838676287874,1,0,-912.527110529059
"North Fork","RM06",0,0,0,0,0,8,37.2767266125705,0,0,-1195.96324295231
"Vista","RG04",0,0,0,0,0,2,36.0059477227697,7,82.2238821118396,941.5601249549
"Bassetts","RM05",0,0,0,0,0,3,39.6309449870135,1,41.1041862087917,616.845567745685
"Piute 08","RM09",0,0,0,0,0,1,35.4666173157506,0,57.9244061229465,213.043742115893
"Pidgeon","RM10",0,NA,0,0,0,10,39.8434003034992,19,51.0400616285908,-0.924640401817212
"Pidgeon","RM09",0,0,0,0,0,10,39.8446143367039,0,1.52687942927645,-0.340468803425922
"Pidgeon","HP03",0,0,0,0,0,10,39.8551567864668,16,60.4868191410236,-495.267625898366
"Whit","RS01",0,0,1,NA,NA,6,38.3860129841572,21,48.600399651833,177.806006732494
"Moonlight","RM09",0,0,1,NA,NA,2,40.2284854627041,1,49.7207804915935,-135.628379888364
"Bassetts","RG06",0,0,0,1,NA,3,39.6176128826541,4,79.211827665536,-149.569608283619
"Freds","DM10",0,0,0,0,0,5,38.7775655941875,2,65.9589250811576,-633.78570824634
"Bell West","RM04",0,NA,0,0,0,10,41.4675316198106,2,0,-559.420985167038
"Lookout","HP10",0,NA,0,0,0,10,39.8618285336609,1,55.4548350950382,-662.05729754214
"Piute 08","RG05",0,0,0,0,0,1,35.4596953459505,3,21.4019599026506,49.7130110069791
"Cone","RM03",0,0,0,0,0,7,40.7468124000605,0,46.0458036684012,551.781499770042
"Freds","BW05",0,NA,0,0,0,5,38.7788265137333,0,99.1820188960762,-643.178975758576
"Moonlight","HP01",0,0,0,0,0,2,40.2098207234166,0,0,-344.609526813303
"Power","DM06",0,0,0,0,0,5,38.5139570694987,0,95.5891228524083,-400.629531480547
"Power","DM04",0,0,0,0,0,5,38.5153408278994,6,28.9208710353724,-439.963691078821
"Freds","BW06",0,0,0,0,0,5,38.7796679628526,0,100,-682.774085122073
"Freds","BW10",0,NA,0,0,0,5,38.7851698147678,2,99.5492995082454,-420.126689964363
"Plum","DM02",0,0,0,0,0,7,38.7574150430643,0,25.2247726923702,-1443.48180190553
"Freds","DM02",0,0,0,0,0,5,38.7876153588908,1,98.1654404791057,-548.949936796705
"Freds","BW08",0,0,0,0,0,5,38.7823672901607,3,100,-451.47521591318
"Piute 08","RM07",0,0,0,0,0,1,35.4623565640418,15,78.3397786750469,130.99354272559
"Power","BW01",0,NA,0,0,0,5,38.510821172685,2,65.4964799974598,-502.138470319257
"Government","DM04",0,0,0,0,0,1,39.1871519722273,2,0.000567554408035804,-716.69988867145
"Antelope Complex","HP07",0,0,0,0,0,2,40.1132092549589,9,100,528.902720023509
"Stream","RM02",0,NA,0,0,0,8,40.1779761500788,11,79.585660575,-319.932579951274
"Stream","HP03",0,0,0,0,0,8,40.1728614784589,0,95.0772785276204,-322.393670705533
"Bucks","HP07",0,0,0,0,0,10,39.9395919368416,1,80.7435837020162,-314.638904571774
"Blue","RM03",0,0,0,0,0,8,41.1558003431438,1,26.880255612445,1490.57936288401
"Antelope Complex","HP08",0,NA,1,NA,NA,2,40.1155618611249,5,100,530.03475306763
"Storrie","HP04",0,NA,0,0,0,9,39.9825777974023,0,70.363015032358,446.045141609844
"Antelope Complex","HP03",0,0,0,0,0,2,40.1063627382687,4,100,655.60829563474
"Scotch","RM05",0,0,0,0,0,1,39.7805488501469,2,0,-551.16766326477
"Piute 08","RM06",0,NA,0,0,0,1,35.4626571099195,42,94.3953695213915,211.138160158694
"Stream","HP07",0,0,0,0,0,8,40.1705320146538,0,99.8689511073993,-123.514568049324
"Fall","DM04",0,0,0,0,0,1,39.3948877293807,2,1.08405216631182,-186.741066433446
"Blue","HP04",0,NA,0,0,0,8,41.1471476140699,0,17.1268402629983,1056.41582060692
"Blue","RM09",0,0,0,0,0,8,41.1463234971473,3,0.0179186280952189,1866.01926992109
"Albanita","RM07",0,0,0,0,0,6,36.101087766255,2,46.3393888943518,598.339854091472
"Piute 08","RM03",0,0,0,0,0,1,35.457157441384,2,42.8947400655495,-31.5081843947957
"North Fork","RM07",0,NA,0,0,0,8,37.2797796878339,2,0,-1194.49415639872
"Moonlight","RM07",1,NA,1,NA,NA,2,40.2234068945952,0,4.12012329657811,-218.072098262983
"Plum","DM01",0,NA,0,0,0,7,38.7553679057087,0,6.71702428781941,-1364.46684868721
"Freds","DM07",0,NA,0,0,0,5,38.779809522801,0,99.9451136627777,-632.70596894452
"Fall","BW02",0,0,0,0,0,1,39.3899294129356,2,0,-379.126921805322
"Government","BW05",0,NA,0,0,0,1,39.1912977950704,0,85.2949568262291,-354.704991046302
"Piute 08","RM02",0,NA,0,0,0,1,35.4548577016986,0,41.3285201752906,-32.6147790107464
"Bassetts","RM09",0,0,1,NA,NA,3,39.6244430178047,12,18.9891687027966,373.716933594081
"Boulder Complex","RM02",0,NA,1,NA,NA,3,40.2069551208664,0,0.283591575001874,494.0115952321
"Storrie","RM07",0,0,0,0,0,9,39.9990099390449,6,0.0561548266634103,753.952001497378
"Moonlight","RM03",1,NA,1,NA,NA,2,40.2152173236557,7,25.1377073692731,-262.012776925936
"Lookout","RM08",0,NA,0,0,0,10,39.8419760113671,1,18.4388896647202,238.390015072048
"Piute 08","RM10",0,NA,0,0,0,1,35.4691308922433,12,67.7558297160505,214.253231272978
"Rich","RM11",0,0,0,0,0,1,40.0607256440369,3,8.9125245629935,-416.351477936677
"Freds","DM09",0,NA,0,0,0,5,38.7787038515005,1,81.15820718889,-633.237998685065
"Storrie","HP07",0,0,0,0,0,9,39.9782957297628,0,100,303.984685365559
"Horton2","RM08",0,NA,0,0,0,10,39.8874720252677,2,99.9994457108712,1060.28190324934
"Treasure","RG04",0,0,0,0,0,8,39.5492654366079,0,83.3961392585003,137.542793050788
"Freds","BW09",0,NA,0,0,0,5,38.7837653772101,1,97.8699670089273,-230.802480815672
"Rich","RM04",0,NA,0,0,0,1,40.0503351824708,11,38.2682200066408,-941.351186772981
"Bassetts","RM04",0,NA,0,0,0,3,39.6302018496437,1,35.1051848043964,596.487983007918
"North Fork","RM12",0,0,0,0,0,8,37.2900917968165,2,95.3389356269826,-1389.53214945868
"Government","DM02",0,0,0,0,0,1,39.1858703114229,0,0.544370402233609,-717.316601491002
"Lookout","HP03",0,0,0,0,0,10,39.8572356321096,7,59.9654487067994,-754.267321642053
"Albanita","RM08",0,NA,0,0,0,6,36.1029081537804,2,51.6105443258447,679.215792810684
"Government","DM05",0,NA,0,0,0,1,39.1884397204606,4,17.4331945206582,-756.080246687307
"Angora","DM01",0,NA,1,NA,NA,2,38.8914843527751,22,62.364480226793,521.030010988859
"Angora","DM03",0,NA,0,0,0,2,38.8889321396769,35,100,519.801930571255
"North Fork","RM08",0,0,0,0,0,8,37.2819900038415,2,0,-1113.43059089647
"Devil's Gap","HP10",0,NA,0,0,0,10,39.6908548717736,1,12.9430895340441,-394.326840880086
"Pidgeon","RM07",0,0,0,0,0,10,39.8466001697845,3,10.8365676015673,40.6150794306306
"North Fork","RM11",0,NA,0,0,0,8,37.2878981095551,3,95.8474725985704,-1390.58771349836
"Piute 08","RM01",0,0,0,0,0,1,35.4527185619865,1,0.459441029303556,-113.644095721331
"North Fork","RG05",0,0,0,0,0,8,37.2520979936111,3,45.4080417890377,-2167.81410473107
"Bassetts","RM03",0,0,0,0,1,3,39.6279733184135,7,23.7429649001138,575.415652658327
"Government","DM03",0,NA,0,0,0,1,39.1869320734509,4,1.1318569012101,-716.805700126357
"North Fork","RG08",0,NA,0,0,0,8,37.2496541397918,0,19.6462445740849,-1928.99004455407
"Blue","RM07",0,0,1,NA,NA,8,41.1492669458917,3,13.9687015013871,1747.43560610625
"Blue","HP05",0,0,0,0,0,8,41.1489249603876,0,25.5178220734343,1067.27104864787
"Boulder Complex","RM10",0,NA,0,0,0,3,40.2015870107558,0,28.7054721201426,571.428554297541
"Government","BW06",0,0,0,0,0,1,39.1925429815954,10,65.4327707313648,-274.105829013671
"Bassetts","RG08",0,0,1,NA,NA,3,39.6189974568172,0,98.903964591804,-108.903375351259
"Government","DM08",0,0,0,0,0,1,39.1905090423768,1,1.52229013622494,-755.084525082084
"North Fork","RM02",0,0,0,0,0,8,37.2828762096553,2,1.45340884808142,-913.004164119383
"Government","BW04",0,0,0,0,0,1,39.1909367691459,9,43.822294928953,-414.878710422806
"North Fork","RM09",0,NA,0,0,0,8,37.2832492648109,2,66.0258291659464,-1192.82465648673
"Moonlight","RM02",0,NA,0,0,1,2,40.2127305449040,4,18.6019617664798,-263.209371477558
"Blue","HP08",0,NA,0,0,0,8,41.1537775985009,2,93.5998179099629,1189.60605345012
"Rich","RM10",0,NA,0,0,0,1,40.0605614062194,4,0,-376.430506309208
"Pidgeon","RM08",0,NA,0,0,0,10,39.8457256124777,5,7.37074016833725,0.194257711898216
"Pidgeon","RM06",0,NA,0,0,0,10,39.8470816265705,2,38.8472688305482,40.8467480366825
"Showers","DM01",0,NA,0,0,0,7,38.7848001152871,9,53.7564656381024,769.695417095206
"Kibbie","RS09",0,NA,0,0,0,6,38.018435094259,2,35.9334981213181,-1199.06606121786
"Cone","HP07",0,0,0,1,NA,7,40.7431427398706,0,24.5671684704401,590.015723306604
"Cone","HP03",0,0,0,0,0,7,40.7483141211246,0,36.4588688317606,536.504101747451
"Boulder Complex","RM08",0,NA,0,0,0,3,40.2051677440213,9,11.9751883391813,553.151540676355
"Cone","HP01",0,0,0,0,0,7,40.7492504614273,0,59.7641513629574,552.95465236596
"Showers","BW01",0,NA,0,0,0,7,38.7819897699417,4,37.1027839528843,908.343127943558
"Government","DM06",0,0,0,0,0,1,39.1886391372709,7,13.0192923708402,-755.984290797166
"Boulder Complex","RM07",0,0,1,NA,NA,3,40.2071486115432,4,38.1653985310255,534.104699570188
"Showers","DM02",0,0,1,NA,NA,7,38.7847767453484,10,91.533654443055,889.684171888411
"Power","BW05",0,NA,0,0,0,5,38.5062003244664,0,78.9895799343598,-664.361941867927
"North Fork","RM10",0,0,0,0,0,8,37.2852915959999,4,27.4141459839638,-1271.84192234857
"Albanita","RM01",0,0,0,0,0,6,36.1016433633397,0,8.14990706399093,358.607197715825
"Plum","DM11",0,NA,0,0,0,7,38.7574364553974,0,25.6542521157802,-1223.47149866440
"Cone","HP08",0,NA,1,NA,NA,7,40.7415684747097,0,2.14141708678234,615.258214375402
"Cone","RM11",0,0,0,0,0,7,40.7576534548069,1,84.6497712104436,720.998026183777
"Blue","RM10",0,NA,0,0,1,8,41.1446523996826,0,0.400223384754043,1985.21516697461
"Government","BW03",0,NA,0,0,0,1,39.1896762149939,6,48.3975675277875,-435.485267089445
"Boulder Complex","RM04",0,NA,1,NA,NA,3,40.2072446774231,5,18.8293467330531,534.150924795657
"Treasure","RG10",0,0,0,0,0,8,39.5554275635697,0,2.47690776625068,-299.492098958062
"Freds","DM08",0,0,0,0,0,5,38.7788228157926,1,42.3314162706238,-593.180755143127
"Power","BW02",0,0,0,0,0,5,38.5106145683699,5,0.940310952375688,-562.237884711316
"Power","BW03",0,NA,0,0,0,5,38.5095443118521,0,19.1785464155205,-652.752873476263
"Stream","HP05",0,0,0,0,0,8,40.170689395753,6,86.9235429173522,-443.438839010019
"Power","DM08",0,0,0,0,0,5,38.5113148340804,0,88.3291587748753,-561.900929068078
"Cone","RM09",0,0,0,0,0,7,40.7558100992919,2,2.80832208906958,753.111035668662
"Whit","JS01",0,NA,1,NA,NA,6,38.3873191571881,12,65.6589954373681,328.434514407809
"Plum","DM05",0,NA,0,0,0,7,38.7621558530096,0,0,-1421.20060686679
"Power","BW08",0,0,0,0,1,5,38.5029307239345,1,93.910473296506,-1085.93521660327
